1,2,3,4,5,6,7,8,9,10,class
YXXXQZ,YXXXXY,YYYYXX,XXZZXZ,YXXXYQ,ZYZZYY,ZXQXQZ,YZXQYY,QYYYXZ,XXXZYQ,B
YXXXXX,QZXQQZ,ZXQQYZ,ZXXZZX,XZZYZZ,XXZYZX,QYYYZZ,YZZZXQ,XYZZQQ,YXYZXQ,C
YXQXZZ,YXYXZX,ZXZQXZ,XZXXZZ,ZZYZYQ,ZXZZXQ,QQZYYZ,QXQZXQ,QXQQXX,QXQZXQ,B
ZYZQXZ,ZZZQYQ,QZXQZZ,XQXZXX,ZXYQXX,QYZXXX,QZYZZX,QXZXXZ,YQQZXQ,ZZYQQQ,C
ZYQZXZ,ZXXZZY,YXYXZX,XXXQXZ,XQXXYQ,XZYQQQ,YZXYXQ,ZQQZQZ,YYYZYX,ZXZZXX,B
ZZXQZZ,QYZYYQ,YZZYYZ,QXZYYQ,YZZQZZ,XQQQQQ,YYQQXZ,QQZQZQ,ZYZQZZ,QQZQYZ,C
QZQZZQ,ZZXXZQ,QZQXXX,QZXQZY,YZQYZQ,QXQZQZ,QQZQQQ,QQZQQQ,ZZXQQQ,QQQQQQ,A
YYYYQY,QZXQYX,QYYYZY,YXQQZY,YQYZZX,ZZYYQQ,XQYYYX,XQYYQZ,XZYZYZ,YQYXQX,C
ZXZZZZ,YZZZYZ,ZXQXZZ,YZZZQZ,ZZQZYQ,YXZQZX,XZZXQQ,YQZZYQ,QZYYQY,YZXZZY,B
XXYZXX,QZYZXX,QXYYYZ,ZYQQXX,QQZYYQ,QYQYYY,YQXQXQ,YYXXXQ,YZYXYY,YXQYYX,C
ZXZZYZ,XXYYQQ,YZZYXQ,QZZXQX,QXZXZX,XXXZZY,QQQYXQ,QYQXZX,QZXQQZ,YXZZYX,C
QXQQYQ,YXQQQQ,XZXXQZ,XYXQXX,XZZZYQ,QXXQQX,ZXXQYQ,XXZZXQ,QZZXZQ,YQXQYX,A
ZYQYQX,ZZYXQX,QXXXZX,XQXQZX,QYXXXQ,XXQZYQ,QQQYQQ,YQYYXY,QQXQQQ,QZXQXQ,C
YQQQQQ,XZZZXQ,YQZZZX,QXZZXZ,ZXQZYQ,QYXXZZ,XYZZQQ,YYQZYQ,QXQQXZ,YXXQYX,B
QYZZXQ,ZYQZYZ,ZQQZXQ,QYZQYQ,QZZQYQ,ZYQYXZ,QZZZXZ,YYQQQZ,QQZYYQ,YYQZYQ,C
QQQQYZ,ZYXQQQ,QYQQQZ,YZYQXQ,QQQYQQ,QQYQYQ,XQYQQY,YQQQYZ,YQXQYQ,QYQQQQ,C
ZZXQZZ,XQQQYY,QZZQZZ,ZXXZZX,QYZZZY,QZXZZY,ZXZZXQ,ZXXZZY,QYZZYX,QQYZZQ,C
QZXZYQ,ZZZZZY,QQXZYZ,ZZYQQY,YZXQYZ,QXQYQX,QXZZZZ,YXZZZQ,QZZZXX,QYZZZX,A
YYYXQQ,YQYXQZ,ZYYYYZ,YQYZZY,QQZYZY,QYYYQZ,XQYYQQ,XQZXQQ,YQYXQZ,ZYYQXQ,C
ZZZQQZ,ZQQYXQ,XXYZQQ,YQYQZQ,YQYQZQ,QXQYQX,QZZQXQ,QQQXQQ,ZZXQYQ,QQQQYZ,A
XQZXXX,YYYYXY,XZZXQZ,YYYXQX,YQZYQX,XQYXZZ,YQXYQY,YYQQXX,XYXYXX,XXQQXZ,C
YQYYQZ,ZQQYYQ,XQQXQY,YQYZQZ,YZZXQZ,QQQYZY,XQYXZY,XZZXYZ,ZZQYQY,XQQXQQ,C
XQXQXQ,ZZYYZZ,ZYQYQY,YQYYYX,QQQXXZ,QQQYQX,YZYXZY,YZXZXX,XQQYQY,XQYQZX,C
ZQXXYY,XXXQXZ,XXZXXX,XYXXZX,XXYXYQ,YZXQYY,XXXXQQ,YYQZYQ,XYXQXX,QQXYYQ,B
YYYZXY,ZZZZXY,YYYQZZ,YYYYXQ,QQYYYQ,QYYYYQ,YZXZYX,YXZYYZ,YXXQXZ,QXZYXX,C
XXQZXZ,XQZYQQ,XQZQZZ,XZZXQQ,QYQXQQ,XQXZZY,YQQQZZ,YQZZZY,ZQZXQQ,XQQXQY,C
ZXQYQQ,YXXZZX,QXXZZX,QXYZYX,YYYYYX,QXYYQX,XYYYXX,YXQYXX,ZYQXYY,YYXQYX,A
YXXQZX,QQYZYQ,QQYQXX,QZXXQQ,YZZYYY,YXQZZY,QXYXQX,QYYQYY,YXXXXX,XQZZZY,C
ZZQXZX,XQZXQZ,XQYXQY,ZXXXYQ,YQXZYY,QXYYQX,XXQQQQ,QZXYQY,QYQZXQ,QQQQXZ,A
ZYZXZY,QXYXQX,ZXQZYQ,YXQXYZ,ZZZXXQ,QXYYQY,XYYXYY,YXXXQY,YZZXXQ,XXXXQY,A
ZZYZXQ,QZXQZZ,XXZXXX,ZZZYZY,QQXQYQ,XYZZZZ,ZYZQXZ,QQQQXZ,ZYXQXQ,ZZZQZZ,B
ZZYYXZ,YZZYZZ,YYQZXZ,ZXXQXZ,ZZYZYQ,QZZXZX,XXQYQZ,ZZQQYQ,YZYZQY,YYXYXQ,B
ZQZYYZ,XXQQQZ,ZXQQQZ,YYQYYQ,XZQZXQ,QYQZYQ,XQQQXQ,YZZQYQ,QYQQZZ,QZZXQZ,C
QQQQYY,YYZYXY,YQYZZY,XXXYXX,YQXYQQ,XQYQXZ,QYQZYX,ZXQXYQ,QYYZYY,YXQZYY,C
XXZYQZ,YZYXZX,QQYZXZ,XXXYYZ,XXZXXY,YYQYXZ,YQQXXZ,XQYYQQ,QXQYXQ,QYYYXX,C
YYXZZY,QQXQZY,YYYZQY,YXXZXY,QYQZXX,QYZZYQ,XXXYYQ,QQQZYQ,ZYQQQY,ZYYYYY,C
QYZZZQ,ZYQZXZ,YQZXYZ,YQZYZY,QYXZYQ,QXQYQQ,YQZYZY,ZYYQQY,QXQYXX,XXXYYY,A
ZXZXZX,QZYYZZ,YQQXZZ,XZXZXQ,ZYZZYZ,QXQYQX,ZZYXQX,XQXXQX,XQXQQQ,XYXZYZ,A
YQXQZX,XYYZXZ,XXZZXZ,ZZXXZX,ZZYZYQ,ZXXZZX,YYZZYY,QZQYYQ,ZZQQZY,QQXZXQ,B
YQQYZY,QZYYXQ,QXXQXY,XZYYZX,YXQYYQ,QXYYQY,QQXQYY,ZXQZQZ,XXXZXZ,YQYQYY,A
ZZXQQY,QQYQYZ,ZYYYQQ,XZQZXY,ZXQZYX,QZYQZX,QQZZZY,QYXZZY,QQYQYX,QYXXQQ,C
YZXQQQ,ZZXQQQ,ZYYYZY,XYYXXY,ZXQZZQ,QXYQQX,YQZYZY,QQQQXQ,QQQQQX,XZYQQX,A
ZZXXZZ,ZZYQQZ,ZZYZZY,XZYZZY,ZZQZZX,ZXQQZZ,QZZYZZ,ZZZYXZ,XXZZYZ,ZXQXQZ,C
QQZQZZ,ZQXQZX,ZYZYZQ,XZZXZZ,ZQQZYQ,YQYQZX,QZQXQY,ZZQYQZ,ZZQYQX,QZZQZQ,B
XZXZZZ,ZYXYXQ,ZYYXXX,QZXXYY,XQXYYZ,ZXZXXZ,XXXXQZ,ZYXQXX,XZZYXX,ZXQZZY,C
YYYQYQ,QXZYXY,XXYYXQ,QQYXQY,YYYZZZ,YYQXQY,QXXYXX,YXYXQY,ZZQYQY,YYQXZX,C
YYXYQY,XQQQQZ,XQXQZZ,XYQXQQ,QXQZXZ,YQQZZY,QXYXQQ,YZXXXY,XQXQQX,ZYZXQZ,C
QYZYXZ,YYZXXZ,ZXZYXZ,YYZYYQ,YXQZYQ,QXYQQZ,XQZYQQ,QQQYQZ,ZZYXQQ,QYYYQY,A
XYZXXY,YZXZYQ,XZXXZX,XXXXXZ,XZYXYQ,QYZXYZ,YYYXZZ,ZXZZYQ,QYXYXZ,YXXQZZ,B
YQQXQX,YXQQQY,ZZZQZZ,YQZXQQ,QQYQQZ,ZYYYQZ,QYXQXZ,ZYYQQY,QZXQXQ,YYYXYY,C
YQQQZY,ZXQXQQ,XYQQZY,ZZXYXY,QXZZZY,QZXYZX,XQQQYQ,QZXQYQ,QZYYQY,QYYXXQ,C
YYZXXZ,XZZYYZ,QYZYXZ,YXQZXY,ZXQZYQ,QXNYQQ,ZYZYZX,ZZXQZZ,YZXZXX,QZXZXX,A
YQYYZX,QQYQQY,YZZXQY,XZQZQQ,XQZXQQ,QXQQQX,YZZYZX,ZXZZZZ,XQXZZQ,YZZQZQ,A
XQQZXX,ZYQYXZ,ZYXZZZ,YQYQZX,XZYYYQ,QXYXYQ,YXYQQZ,YQQQYZ,YQQQYQ,QQYQYQ,A
YQZXZZ,YQQZXY,XXXXXQ,XQZXXY,QXXYZX,QQXXXX,ZXZZYX,XQZYXX,QXXYQQ,ZYXQQX,C
XXZYQQ,QYYYXX,ZXZXXY,ZXYZYX,QYXXYY,XXQXQX,QQYZZY,XXXQXQ,XXXYXQ,ZXXZZY,C
XYZXZZ,ZYZXZZ,ZZYXXZ,XXZYYY,ZZZYQZ,XZYYQX,XZZYQX,XZZXZZ,YZZXYQ,QYZXXZ,C
ZZXQQY,ZXXXZX,XQZZXZ,XXZZZZ,ZYZZYQ,ZXQQYQ,YQYYYQ,QZZYYQ,ZQQYZZ,YQYQZX,B
ZXQYYY,XXXQXZ,ZZYXXZ,YXYXZX,XQQZYQ,YQYYQZ,XZZYXQ,YYQYYY,XXQYZY,QQQXQY,B
XYZZXY,ZYQZYY,ZYYZYY,ZXYQZY,YZYYQX,YYZYYZ,XQQZXY,ZQYXZZ,XYYZYY,ZXYYXQ,C
QQQQZZ,YXZQXQ,QQZYXZ,ZXZYXZ,XXZQXZ,ZXQZXZ,ZXQQXQ,QXXQXQ,QYZYXZ,YZZXQZ,C
XQYYQQ,QQQYYQ,ZZZZXX,YXYYYY,ZZYXZY,QZXZXZ,QXQYQY,YZXZYZ,XZYZXY,XZYZYY,C
XXYYQX,QZXYQX,XQXQYX,XXXYXY,ZYXYYY,QQZZYQ,YYQZXQ,XZXQYQ,QZYYXZ,YXQYXX,C
QQYYQY,XQZXQQ,YQQYQY,YYZZZX,QQQYYQ,QXYQQZ,XZXQQX,QYZZYQ,QYZYYQ,QQYQQQ,A
QZZZQQ,YZZZZY,QYQQZZ,QQXZZX,QXYXXX,QXXZZX,QQYXQQ,YYQQYQ,YYXYYQ,YYZQQQ,C
YXQYQX,ZZYYQY,YQZXZZ,XXQXZY,QQZXXQ,QXYXQQ,QZXQQY,QZZYQQ,ZYQYYQ,QQQQZX,A
ZXQYZX,QZZXZZ,XZQXZZ,XXXZZX,ZZZZYQ,ZZYZZX,QZQQZZ,XQYQYZ,YQXYZY,QZZYQZ,B
XQQZYQ,YZQQQQ,XQXZZX,QZYZYZ,ZZYZYQ,QXQYZZ,YQQZXX,ZYXQXZ,ZZYQXZ,ZZYQYX,A
QZYZZZ,XZXYYY,YXYQZX,QQYXXX,QZXQXZ,YXZYXX,ZXXQXX,XXXYYZ,YZYQZY,YXYZYZ,C
YXQZZY,ZQXQZX,ZZYZQY,XZQQZY,XQQZZZ,YZXYZZ,XZYZZX,XZQYZQ,QQZXZY,YYXYZZ,C
XXXZXX,ZXZXXQ,YXZXZX,XXXZXZ,QQYZYQ,YQYYXQ,YYQYYY,XXQYXQ,XXQXQY,ZYQXYQ,B
XZZXZX,QQXQZZ,YYZXQZ,YQZYZQ,ZXYQQQ,QXQQXZ,YZZXZY,QZZQYQ,QYZYZZ,XZQQQQ,C
XYQQZX,ZZYQZY,QQZXQQ,ZXZYQQ,ZXXZYX,XZZYXQ,QXZZXZ,XQXXQQ,XXZZXY,QXYQZY,C
ZXQQYX,QYQZXQ,YYQYYQ,QYQQXQ,QZYYXQ,QXQYQQ,QYYZXQ,ZXQQQZ,ZYXQQY,QQYQQQ,A
ZZYYXX,ZYYYYY,XYQZYQ,YYZYQY,QXXQXX,QYQYYQ,QXQYXQ,QYQXYQ,YYQQQQ,QYQZQZ,C
ZXZYZX,ZXQZXX,QXYZXZ,ZZXZZZ,XZZZYQ,QXQZZZ,QZZZZX,QZYXZZ,ZXYYYY,QZXXZQ,B
XYXXZX,QZZZYX,XXQQQQ,YZYZXX,ZZZZQZ,ZQZXQZ,ZYQQYZ,ZZQZXX,ZXZXQY,YYQQZX,C
XXYQYY,QYXYYY,QQXZYY,QXYZXY,YYXYXX,ZYQYXQ,YQYYQY,YZYXXQ,ZYXYYY,QZYXXX,C
ZYZYZY,QZZXYZ,XXXZZY,YQZQQY,QZZYXQ,XZXQQX,YYZQQZ,YYXQZQ,QZXQZY,YZQQZQ,C
YQYQZX,YYYXYX,ZQYXQX,XQXXQQ,XQXZYQ,QXQYQY,XXXXQQ,XQQQYX,YQZXYQ,YQQXZY,A
XZXQYX,QYZXYX,QZYZXZ,ZXXZZX,ZZXZYQ,QXQQYX,YYZXZY,XZZXXY,YZYQQY,QYQXZQ,B
ZXXYZX,ZXXXXX,XXZZZZ,ZZXXZX,XYYYZZ,YZZYQX,QQXXZY,XXXXXY,YQQXXX,XXXZYX,C
ZQZZQY,QZQQZZ,XZZYQQ,QZZZZQ,ZYQYZZ,ZQYQZQ,ZQQXZZ,ZZQQQQ,ZYYYQQ,ZYYQQZ,C
ZXQQXQ,YXQZZZ,YZZXXZ,ZZZXZX,ZXZZYQ,QZYYYX,QQQYQY,QYZZZX,XXQYYQ,XZYYQQ,B
XZXZXZ,XZXZXX,ZZZZZX,QZZZZZ,XXQZYQ,QXYQYY,ZXQZYX,QXZZYZ,ZXYQYZ,QQYXZZ,B
XQYZQZ,ZZXZYY,QQQZYZ,XQXQYQ,XZZZXQ,ZZZYZZ,XQQQZZ,YQQZZZ,XQZZZZ,XXZXZX,C
QQZYZZ,QYQZYQ,XXZQZQ,XZZYXQ,ZQQQYZ,ZXQXYZ,YXZYYQ,YYZQQZ,ZYQQQZ,XXZYXZ,C
QXQYQZ,ZYZZYZ,YZZZYQ,ZZZZZQ,ZYYZXQ,XXXYZY,XQQYXY,YXXYYZ,YYQZXX,XXXQXZ,C
ZYQZXQ,QZZYXX,QYZYZZ,XYZZYQ,QYQXXX,QXYYQX,XZXXQQ,QQYYXQ,QQXQZQ,QQXZYQ,A
YYZXZY,YYZYQY,YQQXQX,ZXQXXY,YXQYQY,QYQXQY,XQZZZY,XZXQZZ,XYZZYX,ZZYYQQ,C
ZYYQZZ,YZXQXQ,YQZXQQ,YZZXQQ,ZXQYQQ,QXQYQX,QXQQQX,XXQXQX,QZZXXQ,XQQQXX,A
XZYQZX,XXXXZX,XXXZXZ,XZXZZX,ZXXZYQ,QYXZYX,ZXXZXZ,QYYZZZ,ZQYQXQ,YZYYQZ,B
XQZYQZ,QZZYQY,ZYXXXX,QZYZYX,YYQQZY,ZZYYYZ,YQZZZY,QQYZXQ,ZZQYQY,ZXZXQQ,C
YQXQXQ,YZXXZY,ZZQYYQ,YZZYQY,ZZQZYQ,QXYQQX,XYXZXZ,XQYXZZ,ZXYZZQ,YQQXZZ,A
XZYQQZ,YXZZQZ,QXZXZZ,QYZYYZ,XXQZZQ,QXQYQX,QQQZQZ,ZZZQZQ,QXQQQQ,YQQQZQ,A
QZXQQQ,ZZXQQQ,QYYZZY,ZYYZXY,ZXQZYQ,QXQYQQ,QZYZYX,ZZZZYY,QQYQQQ,YXXZZZ,A
XZXYQY,YQQQZX,QYQYZZ,YXQZYX,XXXXZY,ZYQZXQ,XYXZZZ,ZXYQYY,ZYQXQZ,ZXQYXY,C
QXZXQZ,ZXZYQX,ZZYZZZ,XQXYZZ,ZXQQZZ,ZQQXZZ,XXXQQY,QXYQYY,XQQYXX,QZYYQX,C
ZXQXZX,ZXZXZZ,ZZXZZZ,XZZZXZ,ZXXQQZ,QZZXXZ,XZQQZX,ZQZZQZ,ZQZZQZ,ZQZZXZ,C
YYXXQY,ZXQQQQ,YZQZYQ,XZXXQX,YZXYXQ,ZYZXXX,ZXXXQZ,ZYYYQQ,ZYYYZQ,ZYQYYZ,C
XXXZZY,ZXZZXZ,ZXXQXZ,XXZXZX,ZXQZYQ,XQZZZX,QQQYQZ,XQXZYX,XQZZZX,ZZXQZX,B
QZYQYQ,QYQZXQ,YYQYYQ,QYQZYQ,QYZYZZ,YQZQZZ,ZYZZXQ,QYQZQZ,YXQYYQ,YYQYYZ,C
ZZXQXZ,YXZXYX,YXZYXQ,YXQYYZ,YYQZYQ,QXQZZX,YZXQZQ,QQXQQQ,YQQQZZ,ZZYQXQ,A
XZXXXQ,QYQQYY,ZYQZXZ,ZZXYQX,QQZXXZ,ZXZZQX,ZXQZYY,XQXZZZ,XXQZYZ,YQZZZY,C
XYZXYZ,YXXXXX,ZXYZYX,ZZXXXQ,XXXZYQ,QQXQXX,QYXXQZ,ZXXXQZ,XZYQXY,XZXXZY,B
YYQZXQ,ZYXQXQ,QYXZZX,QYQYYZ,XXZYQQ,QXQYQX,ZZYQQY,QXXXZY,QZYQXX,XZYQYQ,A
YYQXXZ,ZXQQZX,XZXQXQ,YQZYZZ,QXQZXQ,YZZXZZ,YYYXYZ,ZQXXYY,QZXQQY,QZZXZQ,C
XXZQXZ,YZXYXZ,XZZXZX,ZZYZXQ,QZZYZQ,ZYQYXZ,ZZXZYQ,QZQQXQ,QQQQZQ,QZQXYZ,C
ZYXZXQ,YQQXQQ,XXYYYY,QZXZXZ,ZZXZQX,QXZYZZ,ZZZXXX,XYXQZY,QXZYYY,XQXYYX,C
QQQZXZ,XZZXQY,ZYZYZX,ZXZZZZ,ZXQZYQ,YQQXZZ,YQQQQY,ZZZYYZ,YQZZZZ,YQZYYQ,B
YZXYZX,ZXQZYZ,XYYYQZ,ZYXXXQ,ZZZZYY,XXXYYQ,XXXYXY,YYXXYZ,ZYQXXX,ZQQXYY,C
QYYXZY,XQZYYQ,ZXXZZX,ZZZXZY,QZZYXX,QYXQQY,YYQXXZ,YQZYYQ,YXZYQZ,YYZYYY,C
XQYQYQ,ZZXZXQ,YQZQZX,XZXXQZ,YZXXZY,XQZXQQ,QZXQQX,XXQZYZ,YZZZZQ,XZXXXQ,C
XYZXXX,QYQXQQ,YQQYZZ,YZXQZY,QZZXQZ,YYQYYY,QYZYXY,XXXYYY,QZYYYX,YYQQYQ,C
ZZYYXQ,QYYQZY,QZXQQZ,XXZYZX,QZXZYQ,QXYYZY,YXXXYY,YQXYYZ,YXXYYZ,XXYXXQ,A
XXQXQX,YXQQXQ,XQYQQX,YQQQZX,XQYQQX,XXYXQX,XXXQXX,XYXQQQ,XQXYZY,QXXQXX,C
QYYQYY,QYQYZQ,QXXQYQ,XXXYYQ,ZZYYXZ,ZYXZYZ,XQYXQY,XQYZZX,QQYQQZ,ZYXZQZ,C
YYYXYX,XXXZYX,ZZZXYX,XXYXXX,ZXYZYQ,XQZXYZ,YYXQYY,YYYQYY,QQQXQY,QYYQYQ,B
ZQXYQZ,ZYQZXZ,XZQZXX,XZZYZZ,XZXZYQ,QQYQZY,QYXZYY,YZQQQX,QYYQQY,ZXZQQY,B
XYXYXY,XYXXZY,QYQXXX,YXXXQY,XXQZXQ,XXXQQX,XYYYXY,YZYZQX,XYYYQZ,YXYXXQ,C
XXQZXZ,YQZZXZ,QZXQZX,XQZZXZ,ZXQZYQ,YZQZZQ,ZZYQQZ,ZQYQZZ,YQXXZZ,QQQXQX,B
XQQZZZ,XQYZXZ,YYQZZX,ZXXQZZ,XXZZYQ,XXZZQQ,YYZXQZ,YXQZXZ,YZZYZZ,YXZXQZ,B
XXYXQY,QZZYYX,ZYQYQQ,XQXXQY,YXYYYZ,YZZXZZ,ZXYZXY,QQXZYY,QQXYQY,YYQQQQ,C
XZZQZX,QYZQZX,QZXXXQ,QZXQXZ,XZZZYQ,YXQXQQ,XQQXQZ,XQYYZX,ZZYYQY,QQYZZY,B
ZZYQZY,QQZXQY,QQQZZY,QYQZQQ,ZZYQZZ,ZXQQQY,QZXQQZ,YZXQQQ,XZQZXX,XXQQQY,C
YQQYYX,QXQZYZ,YXZXZZ,XZZXZX,XYXXYY,YZYXQQ,YQXZYX,XYXXYQ,XXZYYZ,YQXYQY,C
ZZYYQQ,ZXYYZX,XZXQXX,XXXQXX,YZXXYQ,XXQQYQ,YYQQYY,ZQYQYQ,YYQQYY,YXXYQX,B
QZZZXQ,QZYZZZ,YQZYZY,YXQYYQ,YXZYYQ,QXQQQX,QXZXXX,ZZXQZZ,XQYQZX,QYZZXQ,A
ZYQYZX,YXYZQQ,ZXQYQX,QZYYQZ,ZZZYYQ,QXQXQX,XZYQYQ,ZZZYQQ,XQQQXQ,QQZXQQ,A
ZQYZQQ,ZYYQQY,XXYZYX,ZQZZZX,QYYYQY,QQYZZX,QZQZXZ,XXQQYZ,ZQZQQZ,QQYZYX,C
YZZQYZ,XQZZXQ,ZXZQXQ,QYYYXQ,QYQYYQ,QXYQQZ,XZQQZZ,XZZZYX,QYXQXQ,QQZXZX,A
ZYZZYY,QXXZZX,QQYYYY,XQYYQY,ZYQYYQ,QXQYXX,ZZZZYY,ZZXQYQ,QQXQYZ,ZYYQYY,A
XZYXYQ,XZZXXX,QQXYQZ,ZXXZZY,QXYYQZ,XQQXQQ,XYQYZX,XXXYQX,YQQXQZ,XZYYXY,C
QYYQZQ,YYQZZQ,YYYYYQ,QZYQZY,QZQYYQ,QXYYQZ,ZXZQYY,YZQZQZ,YXXQQQ,YXQZYQ,A
ZZXQQZ,ZYZZYQ,ZXXZZZ,XZXQZZ,XQYZZZ,ZYQQZZ,YZZXQX,ZXXZXZ,XZZZYZ,QXQZYZ,C
ZZYZZZ,XZZYQZ,ZZZZYZ,ZXZZXZ,ZXQZYQ,YZYYQZ,XQQXQX,ZXYQQY,YZXYZZ,ZQQYZZ,B
XZZZYY,ZZYYQZ,ZZXZZY,QZYYQQ,YXXZYQ,QXXQQX,QZXQYQ,XQZZXQ,QQYQQQ,YZYZZZ,A
QYQXZY,QZXQYY,YYXXQX,QYZYYY,XZYZXX,QXYYQX,YZYXXZ,XYYXXQ,XQQYQY,XXZXXX,A
ZXZXXX,XXXXXX,XXZXZZ,ZZZYXZ,YXYZYQ,QXQYYX,YXQYZZ,YXZXZZ,ZYQYYZ,YQQZZX,B
ZYZYQZ,ZYYXQZ,ZZQXZZ,XXQZZZ,ZXQZYQ,YYZZXY,QYQZXQ,ZXZZQZ,YXZXZZ,ZXQZXQ,B
XYZYYZ,ZXYQZY,QYZQQY,YZXQYY,ZXZYQQ,QXYYQY,YXXXXX,XXXXXX,YXQYQZ,YYXQZY,A
YYXYXX,YZZXQY,QQXYYQ,QXYYQQ,ZYYYQY,QXQQQY,QQZYQQ,QYQXZZ,YQXXZY,QQQYZQ,C
ZZYYYQ,QZQQQY,YQYXQQ,XQQQZY,QZZZYQ,YZYZZQ,XXQQQY,XQYYZX,YZQQZY,QZXYZY,C
ZXZYZQ,YQQZXX,QZXZXZ,XXQXXZ,ZXXZYQ,YYQZXQ,XXZXQQ,YXXXZX,XYZYQX,QQXQYQ,B
YYYQZZ,YZYYQQ,YZZYZZ,ZZZYZY,YQQYQQ,ZYYZZY,QZZXZY,YQQXZZ,ZZZYZZ,XZZXZZ,C
QQYYQQ,ZXQXQY,QYYQYQ,ZZXQYZ,ZXQZZQ,YZYZQZ,XZZZXZ,ZZZZXQ,ZZZZXX,ZXYZYZ,C
XQXQZY,ZYQYZY,QQYYQQ,XQXQXY,YYZZQZ,YQYZXX,ZXXXQZ,YYXQQQ,QYZYYX,QYZXQX,C
XXQQYQ,QZZYYQ,QYQQZZ,QYQYYX,YXZYZQ,QXQYQY,ZZZZXX,ZZZZYQ,ZYZYXX,ZZYZYQ,A
ZZXXZY,ZZZYXZ,ZZZXQX,ZZZXQZ,QQZZYQ,QXZQYQ,QXQYXX,QQQQQY,QZYQYZ,YYQXYZ,B
QXQXXQ,QQZYYZ,YYYXQY,XZXXXQ,YQQYYZ,YXQQXX,XXYQQZ,QQYZZY,ZYZZQZ,ZZYZYY,C
YQZXYY,QXZZXQ,ZZZXZY,XXXZZZ,XZXZYQ,QZYXQQ,YQXZZX,QXQQZY,XZZYZQ,YYYZXY,B
QQYQYX,QYYQYY,QYQYQX,ZQYQQY,ZZXZZY,XQXYQQ,XQZZYZ,QQXQQZ,ZZZZYQ,ZYQZYQ,C
YYQYQQ,QZYQQQ,YYQQXQ,QXQXZZ,QYQQYQ,QYQZYQ,ZXQQZZ,ZXQQYQ,QZZYYQ,QZQQYQ,C
QQXQZQ,ZYXXQQ,ZYYQZY,ZXZZZQ,ZYZYYQ,QXYZYQ,YYZXQQ,XQQZZZ,QXQQQX,QXZXQQ,A
QQXZZX,ZYZYQZ,XQZZZY,ZXQZYX,ZYQQYY,QXQYQX,YQQQQZ,ZXQQQQ,XZXQQQ,QYQZYQ,A
